kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra_str,dec_str,koi_kepmag,koi_kepmag_err
11754553,K00775.03,Kepler-52 d,CONFIRMED,CANDIDATE,1.0,0,0,0,0,36.4454001,0.0001809,-0.0001809,151.60125,0.00392,-0.00392,0.028,0.437,-0.028,4.007,0.126,-0.126,1122.3,53.4,-53.4,1.99,0.09,-0.09,332.0,,,2.88,0.51,-0.47,21.7,3.0,q1_q17_dr25_tce,4126.0,82.0,-82.0,4.661,0.022,-0.022,0.615,0.027,-0.029,19h06m57.13s,+49d58m32.7s,15.095,
4139816,K00812.03,Kepler-235 e,CONFIRMED,CANDIDATE,1.0,0,0,0,0,46.1842039,0.0002654,-0.0002654,165.23729,0.0043,-0.0043,0.013,0.415,-0.013,4.758,0.13,-0.13,1394.7,56.4,-56.4,1.83,0.12,-0.15,273.0,,,1.32,0.29,-0.3,26.0,3.0,q1_q17_dr25_tce,3950.0,70.0,-86.0,4.754,0.042,-0.031,0.493,0.033,-0.04,19h04m18.99s,+39d16m42.0s,15.954,
4725681,K00817.01,Kepler-236 c,CONFIRMED,CANDIDATE,1.0,0,0,0,0,23.96793669,9.249e-05,-9.249e-05,186.22182,0.00305,-0.00305,0.416,0.053,-0.416,3.827,0.113,-0.113,1182.3,46.1,-46.1,1.8,0.1,-0.15,329.0,,,2.77,0.58,-0.64,27.5,1.0,q1_q17_dr25_tce,3747.0,75.0,-83.0,4.728,0.042,-0.025,0.524,0.03,-0.044,18h55m27.93s,+39d53m53.1s,15.414,
6435936,K00854.01,Kepler-705 b,CONFIRMED,CANDIDATE,0.996,0,0,0,0,56.0560754,0.0002753,-0.0002753,201.16578,0.00329,-0.00329,0.018,0.413,-0.018,4.685,0.132,-0.132,1626.0,66.7,-66.7,1.94,0.12,-0.22,233.0,,,0.69,0.15,-0.19,27.4,1.0,q1_q17_dr25_tce,3593.0,71.0,-86.0,4.757,0.054,-0.027,0.491,0.03,-0.055,19h18m02.04s,+41d48m43.6s,15.849,
7455287,K00886.03,Kepler-54 d,CONFIRMED,CANDIDATE,0.986,0,0,0,0,20.99587872,7.662e-05,-7.662e-05,152.31554,0.00305,-0.00305,0.228,0.176,-0.228,2.6333,0.0866,-0.0866,767.3,42.9,-42.9,1.3,0.1,-0.15,328.0,,,2.74,0.7,-0.79,18.2,3.0,q1_q17_dr25_tce,3713.0,74.0,-92.0,4.779,0.063,-0.031,0.47,0.036,-0.054,19h39m05.74s,+43d03m22.7s,15.847,
7907423,K00899.03,Kepler-249 d,CONFIRMED,CANDIDATE,0.998,0,0,0,0,15.36845737,4.067e-05,-4.067e-05,147.38965,0.00229,-0.00229,0.115,0.32,-0.115,2.4714,0.069,-0.069,756.1,26.4,-26.4,1.11,0.12,-0.16,332.0,,,2.86,0.95,-0.98,30.9,3.0,q1_q17_dr25_tce,3561.0,71.0,-89.0,4.855,0.055,-0.055,0.411,0.045,-0.06,19h47m56.41s,+43d39m30.7s,15.234,
8150320,K00904.03,Kepler-55 c,CONFIRMED,CANDIDATE,1.0,0,0,0,0,42.1406089,0.0003143,-0.0003143,139.0604,0.00485,-0.00485,0.045,0.393,-0.045,5.083,0.155,-0.155,895.5,43.6,-43.6,1.85,0.13,-0.05,349.0,,,3.49,0.81,-0.47,21.6,5.0,q1_q17_dr25_tce,4500.0,90.0,-90.0,4.656,0.013,-0.043,0.646,0.043,-0.02,19h00m40.40s,+44d01m35.3s,15.791,
3859079,K01199.01,Kepler-786 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,53.5292702,0.0002683,-0.0002683,147.86464,0.00349,-0.00349,0.346,0.104,-0.346,5.668,0.122,-0.122,1086.1,35.7,-35.7,2.28,0.15,-0.08,348.0,,,3.48,0.79,-0.49,34.5,1.0,q1_q17_dr25_tce,4736.0,94.0,-94.0,4.624,0.012,-0.048,0.708,0.046,-0.025,19h34m58.54s,+38d56m21.4s,14.887,
10166274,K01078.03,Kepler-267 d,CONFIRMED,CANDIDATE,0.992,0,0,0,0,28.46464804,8.805e-05,-8.805e-05,158.03986,0.00254,-0.00254,0.035,0.395,-0.035,2.6657,0.0806,-0.0806,1629.8,60.3,-60.3,1.87,0.14,-0.22,301.0,,,1.95,0.49,-0.55,28.9,3.0,q1_q17_dr25_tce,3789.0,75.0,-82.0,4.781,0.063,-0.031,0.46,0.035,-0.053,19h59m19.30s,+47d09m26.9s,15.438,
9710326,K00947.01,Kepler-737 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,28.59914031,5.489e-05,-5.489e-05,189.92667,0.00157,-0.00157,0.009,0.374,-0.009,3.6567,0.0556,-0.0556,1585.1,33.9,-33.9,1.83,0.16,-0.21,298.0,,,1.87,0.52,-0.53,53.8,1.0,q1_q17_dr25_tce,3755.0,75.0,-84.0,4.781,0.063,-0.031,0.461,0.04,-0.053,19h27m27.08s,+46d25m45.3s,15.19,
9787239,K00952.03,Kepler-32 d,CONFIRMED,CANDIDATE,1.0,0,0,0,0,22.78078241,3.951e-05,-3.951e-05,155.20408,0.00138,-0.00138,0.008,0.283,-0.008,3.3002,0.0449,-0.0449,1925.1,42.3,-42.3,2.17,0.15,-0.22,328.0,,,2.73,0.63,-0.72,46.4,2.0,q1_q17_dr25_tce,3731.0,73.0,-83.0,4.75,0.052,-0.028,0.498,0.034,-0.051,19h51m22.18s,+46d34m27.4s,15.801,
6960913,K01361.01,Kepler-61 b,CONFIRMED,CANDIDATE,0.998,0,0,0,0,59.8780258,0.0001502,-0.0001502,151.1847,0.0021,-0.0021,0.004,0.411,-0.004,4.8027,0.0705,-0.0705,1419.1,32.3,-32.3,2.19,0.08,-0.14,273.0,,,1.31,0.22,-0.24,51.8,1.0,q1_q17_dr25_tce,4016.0,79.0,-79.0,4.658,0.039,-0.015,0.599,0.023,-0.037,19h41m13.08s,+42d28m31.0s,14.995,
11176127,K01430.03,Kepler-298 d,CONFIRMED,CANDIDATE,0.996,0,0,0,0,77.4740991,0.0003593,-0.0003593,184.24533,0.00451,-0.00451,0.758,0.013,-0.549,4.168,0.125,-0.125,1543.6,60.9,-60.9,2.63,0.18,-0.08,277.0,,,1.4,0.32,-0.19,27.5,2.0,q1_q17_dr25_tce,4463.0,88.0,-88.0,4.677,0.013,-0.04,0.611,0.041,-0.019,18h52m09.55s,+48d49m31.3s,15.415,
11497958,K01422.02,Kepler-296 d,CONFIRMED,CANDIDATE,1.0,0,0,0,0,19.85029495,5.525e-05,-5.525e-05,133.64933,0.00216,-0.00216,0.217,0.245,-0.217,2.8407,0.0741,-0.0741,1607.5,50.7,-50.7,1.52,0.19,-0.23,297.0,,,1.83,0.68,-0.62,34.4,2.0,q1_q17_dr25_tce,3526.0,71.0,-78.0,4.866,0.066,-0.044,0.383,0.048,-0.058,19h06m09.60s,+49d26m14.4s,15.921,
