kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra_str,dec_str,koi_kepmag,koi_joined
8240790,00000000000000000000000000000000fc97751daf501c3a47f834ddb469ed99,,CANDIDATE,CANDIDATE,,369.13236,0.02649,-0.02649,235.5195,0.0274,-0.0274,0.0824,0.3649,-0.0823,10.34,0.899,-0.899,215.9,26.9,-26.9,2.14,1.13,-0.55,328.0,2.73,4.33,-1.42,11.9,,,6282.0,167.0,-209.0,4.151,0.224,-0.268,1.449,0.762,-0.374,19h37m48.09s,+44d10m00.4s,13.665,"CANDIDATE,CANDIDATE"
2576962,00000000000000000000000000000000d7b5e962e5c43de6e1a31d9dd7972108,,CANDIDATE,CANDIDATE,,309.25581,0.01495,-0.01495,136.2248,0.0224,-0.0224,0.2875,0.1631,-0.2875,10.72,1.0,-1.0,421.4,45.6,-45.6,2.18,1.04,-0.23,287.0,1.61,2.24,-0.48,9.9,,,6060.0,148.0,-196.0,4.419,0.063,-0.305,1.057,0.502,-0.11,19h26m48.12s,+37d50m37.4s,14.205,"CANDIDATE,CANDIDATE"
9007151,00000000000000000000000000000000c799537ceba4ce89a5c1f864fe6188be,,CANDIDATE,CANDIDATE,,330.906041,0.006806,-0.006806,253.8224,0.015,-0.015,0.005,0.4585,-0.005,3.846,0.627,-0.627,740.0,146.0,-146.0,2.05,0.52,-0.15,225.0,0.6,0.48,-0.13,7.3,,,5461.0,171.0,-140.0,4.589,0.03,-0.157,0.769,0.197,-0.057,19h02m40.42s,+45d22m29.2s,15.77,"CANDIDATE,CANDIDATE"
9005321,00000000000000000000000000000000e3cd701f550ae576d24028508c0b6f32,,CANDIDATE,CANDIDATE,,384.6961,0.01226,-0.01226,365.0874,0.0142,-0.0142,0.5221,0.0034,-0.4765,6.167,0.611,-0.611,787.0,111.0,-111.0,1.78,0.12,-0.2,157.0,0.14,0.04,-0.04,8.2,,,4228.0,125.0,-139.0,4.64,0.057,-0.027,0.623,0.045,-0.067,18h59m04.23s,+45d20m28.4s,15.677,"CANDIDATE,CANDIDATE"
8482059,00000000000000000000000000000000b487e2c46a2400ee404b099a6c1f59c5,,CANDIDATE,CANDIDATE,,349.41047,0.02589,-0.02589,241.4685,0.0474,-0.0474,0.2791,0.206,-0.2786,15.02,1.8,-1.8,652.8,83.4,-83.4,2.41,0.75,-0.19,253.0,0.97,0.88,-0.25,17.7,1.0,q1_q16_tce,5878.0,150.0,-191.0,4.512,0.032,-0.241,0.945,0.294,-0.077,19h03m24.76s,+44d34m20.0s,15.346,"CANDIDATE,CANDIDATE"
7820699,00000000000000000000000000000000b5095597825c48af6603da38db8ca8da,,CANDIDATE,CANDIDATE,,364.08733,0.02594,-0.02594,287.6056,0.048,-0.048,0.1702,0.2852,-0.1702,14.09,2.6,-2.6,372.0,60.5,-60.5,1.39,0.35,-0.11,211.0,0.47,0.37,-0.11,8.8,1.0,q1_q16_tce,5376.0,179.0,-142.0,4.601,0.035,-0.139,0.727,0.183,-0.055,19h24m52.90s,+43d34m27.4s,14.816,"CANDIDATE,CANDIDATE"
11804437,00000000000000000000000000000000010f6e84e74a15cce6b238be009ceaa6,,CANDIDATE,CANDIDATE,,449.01499,0.02055,-0.02055,144.707,0.0265,-0.0265,0.2182,0.2153,-0.2181,12.58,1.0,-1.0,94.2,13.1,-13.1,1.04,0.38,-0.14,258.0,1.04,1.1,-0.34,8.5,1.0,q1_q16_tce,6031.0,143.0,-168.0,4.368,0.106,-0.251,1.068,0.389,-0.145,19h04m54.75s,+50d00m48.9s,12.291,"CANDIDATE,CANDIDATE"
10065053,00000000000000000000000000000000376303a3576a7a934c6afbeae469ba63,,CANDIDATE,CANDIDATE,,409.87844,0.0233,-0.0233,238.9944,0.0414,-0.0414,0.177,0.2649,-0.1769,10.58,1.6,-1.6,647.1,90.5,-90.5,2.72,1.33,-0.25,264.0,1.15,1.69,-0.32,8.7,1.0,q1_q16_tce,6167.0,168.0,-202.0,4.444,0.043,-0.309,1.064,0.523,-0.098,19h09m23.75s,+47d03m39.5s,15.731,"CANDIDATE,CANDIDATE"
10000162,000000000000000000000000000000002bf99f4c00b50d55f774cb16120c0eac,,CANDIDATE,CANDIDATE,,409.38645,0.02907,-0.02907,340.621,0.037,-0.037,0.0706,0.3801,-0.0705,13.78,1.7,-1.7,531.5,83.7,-83.7,1.78,0.57,-0.16,197.0,0.35,0.35,-0.09,10.3,1.0,q1_q16_tce,4955.0,171.0,-136.0,4.517,0.065,-0.68,0.799,0.255,-0.071,19h05m20.51s,+46d55m04.2s,15.149,"CANDIDATE,CANDIDATE"
3968809,00000000000000000000000000000000b35c02e18f596dc455c2cd06d4fbb145,,CANDIDATE,CANDIDATE,,411.8969,0.01427,-0.01427,379.0087,0.0151,-0.0151,0.4026,0.0322,-0.4026,6.203,0.673,-0.673,502.8,64.4,-64.4,2.61,1.3,-0.3,279.0,1.43,2.1,-0.48,8.5,1.0,q1_q16_tce,6362.0,154.0,-247.0,4.408,0.058,-0.3,1.144,0.569,-0.135,19h40m45.29s,+39d01m07.1s,14.452,"CANDIDATE,CANDIDATE"
5436455,00000000000000000000000000000000aed6fdb62e9f9c4c6c777aa555984b83,,CANDIDATE,CANDIDATE,,209.967521,0.003005,-0.003005,241.95921,0.00876,-0.00876,0.2723,0.201,-0.2722,2.585,0.342,-0.342,120.0,20.2,-20.2,1.16,0.55,-0.11,344.0,3.29,4.61,-0.89,7.1,1.0,q1_q16_tce,6437.0,148.0,-198.0,4.439,0.049,-0.312,1.042,0.5,-0.096,19h11m29.82s,+40d37m49.5s,12.489,"CANDIDATE,CANDIDATE"
5439000,000000000000000000000000000000004bf81af0ce5b547fc3cbd9123286cf8d,,CANDIDATE,CANDIDATE,,369.73011,0.02032,-0.02032,246.29,0.0404,-0.0404,0.1236,0.3231,-0.1235,14.27,3.9,-3.9,274.8,81.3,-81.3,1.66,0.74,-0.15,274.0,1.34,1.74,-0.37,9.6,1.0,q1_q16_tce,6283.0,161.0,-195.0,4.453,0.052,-0.302,0.999,0.441,-0.095,19h15m24.30s,+40d41m33.3s,13.976,"CANDIDATE,CANDIDATE"
6517064,000000000000000000000000000000009b5c6cba03ccd59bccd4f254a819c0a4,,CANDIDATE,CANDIDATE,,181.81214,0.008056,-0.008056,144.6702,0.0298,-0.0298,0.3694,0.0824,-0.3693,16.164,0.949,-0.949,474.6,42.3,-42.3,2.04,0.83,-0.18,324.0,2.6,3.08,-0.69,21.3,1.0,q1_q16_tce,6060.0,154.0,-189.0,4.509,0.04,-0.297,0.925,0.375,-0.081,19h20m37.99s,+41d59m23.2s,14.94,"CANDIDATE,CANDIDATE"
6517200,0000000000000000000000000000000005c3543c43718dd70185ea5143bd2d58,,CANDIDATE,CANDIDATE,,435.50635,0.03899,-0.03899,267.6857,0.0727,-0.0727,0.1452,0.2898,-0.1451,34.16,2.1,-2.1,553.8,65.9,-65.9,2.06,0.72,-0.15,225.0,0.61,0.63,-0.15,8.2,1.0,q1_q16_tce,5750.0,161.0,-164.0,4.538,0.027,-0.258,0.882,0.308,-0.066,19h20m48.16s,+41d56m46.6s,15.667,"CANDIDATE,CANDIDATE"
5529385,00000000000000000000000000000000e03d2b09bd0100c981bee75887083011,,CANDIDATE,CANDIDATE,,215.732414,0.005771,-0.005771,294.363,0.0109,-0.0109,0.4046,0.1079,-0.4046,1.915,0.425,-0.425,208.2,48.3,-48.3,1.26,0.55,-0.15,292.0,1.72,2.27,-0.49,7.3,1.0,q1_q16_tce,5790.0,164.0,-135.0,4.479,0.083,-0.284,0.856,0.379,-0.097,19h21m44.38s,+40d46m38.1s,13.372,"CANDIDATE,CANDIDATE"
2019199,00000000000000000000000000000000bf7202c76fb3b9b683a4af95609e8ee9,,CANDIDATE,CANDIDATE,,579.81521,0.01732,-0.01732,343.5587,0.0284,-0.0284,0.8425,0.034,-0.5902,5.43,3.3,-3.3,607.0,117.0,-117.0,2.71,1.06,-0.29,218.0,0.53,0.62,-0.15,7.9,1.0,q1_q16_tce,5822.0,160.0,-170.0,4.449,0.07,-0.27,0.969,0.377,-0.106,19h29m56.69s,+37d24m15.6s,14.473,"CANDIDATE,CANDIDATE"
2437653,00000000000000000000000000000000abf4573b0724a0b22950a5dbeea133f6,,CANDIDATE,CANDIDATE,,84.6405853,0.0009678,-0.0009678,183.17243,0.00971,-0.00971,0.2541,0.2141,-0.254,2.657,0.306,-0.306,784.0,117.0,-117.0,1.72,0.14,-0.18,271.0,1.27,0.41,-0.36,8.2,1.0,q1_q16_tce,4386.0,130.0,-129.0,4.629,0.057,-0.027,0.63,0.052,-0.064,19h20m57.85s,+37d47m06.8s,15.16,"CANDIDATE,CANDIDATE"
4471313,0000000000000000000000000000000070d38c3141b585c1dd378ea304a7954c,,CANDIDATE,CANDIDATE,,110.089267,0.002362,-0.002362,174.2529,0.0179,-0.0179,0.2852,0.1965,-0.2849,1.575,0.478,-0.478,1018.0,245.0,-245.0,2.4,0.83,-0.18,322.0,2.54,2.84,-0.63,5.6,1.0,q1_q16_tce,5465.0,214.0,-172.0,4.6,0.031,-0.2,0.75,0.261,-0.056,19h34m02.82s,+39d31m41.8s,15.792,"CANDIDATE,CANDIDATE"
4484179,00000000000000000000000000000000669de82053c3543e9638df7b23414de7,,CANDIDATE,CANDIDATE,,385.29212,0.01484,-0.01484,440.5319,0.0237,-0.0237,0.0118,0.4231,-0.0116,19.417,0.611,-0.611,218.5,17.5,-17.5,1.57,0.52,-0.23,290.0,1.68,1.62,-0.6,15.1,1.0,q1_q16_tce,6440.0,171.0,-194.0,4.355,0.126,-0.236,1.053,0.347,-0.156,19h45m41.45s,+39d34m45.8s,13.086,"CANDIDATE,CANDIDATE"
5650930,00000000000000000000000000000000ffbd6ece5254c718b1ba2256868eed94,,CANDIDATE,CANDIDATE,,455.195496,0.006771,-0.006771,312.331,0.0101,-0.0101,0.054,0.3858,-0.0539,3.565,0.273,-0.273,293.6,38.9,-38.9,2.09,0.96,-0.33,290.0,1.67,2.26,-0.62,8.0,1.0,q1_q16_tce,6478.0,158.0,-199.0,4.29,0.128,-0.267,1.209,0.557,-0.189,19h57m08.01s,+40d50m03.8s,12.376,"CANDIDATE,CANDIDATE"
